Título;Cód. empresa;Empresa;Documento;Nº documento;Data emissão;Cód. cliente;Cliente;Origem;Inadimplente;SPC;Serasa;Subjudice;Taxa administrativa;Seguro;Valor a receber;Valor baixado;Valor líquido;Valor total;Observação
426;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;245;02/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 25.145,35;R$ 25.145,35;R$ 25.145,35;ESCOLA CRISTO REI
428;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;242;02/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 22.942,01;R$ 22.942,01;R$ 22.942,01;ESCOLA PEDRO LOPES
430;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;251;02/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 36.374,27;R$ 36.374,27;R$ 36.374,27;ESCOLA NOSSA SENHORA AUXILIADORA
432;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;248;02/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 36.919,60;R$ 36.919,60;R$ 36.919,60;ESCOLA NAÇÕES UNIDAS
433;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;250;02/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 37.809,96;R$ 37.809,96;R$ 37.809,96;ESCOLA FRANCISCO AIRTON AMORA VASCONCELOS
434;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;249;02/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 25.689,36;R$ 25.689,36;R$ 25.689,36;ESCOLA SÃO FRANCISCO
470;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFE;246;02/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 25.991,79;R$ 25.991,79;R$ 25.991,79;ESCOLA VOVO GUILHERMINA
471;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFE;283;02/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 26.267,38;R$ 26.267,38;R$ 26.267,38;ESCOLA VOVO GUILHERMINA
406;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;574;04/08/2021;50;PREFEITURA MUNICIPAL DE ORÓS;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 365.690,40;R$ 365.690,40;R$ 365.690,40;REFERE-SE A 5ª MEDIÇÃO, 6ª MEDIÇÃO E 7ª MEDIÇÃO - OBJETO: CONTRATAÇÃO DA PRESTAÇÃO DE SERVIÇOS DE AMPLIAÇÃO DO HOSPITAL E MATERNIDADE LUZIA TEODORO DA COSTA NO MUNICÍPIO DE ORÓS/CE. CONTRATO Nº 2019.08.30.01-01.
431;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;253;04/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 21.579,32;R$ 21.579,32;R$ 21.579,32;ESCOLA MARIA JOSÉ VIANA
410;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;575;09/08/2021;49;IFCE - CAMPUS TABULEIRO DO NORTE;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.580,99;R$ 1.580,99;R$ 1.580,99;MEDIÇÃO REFERENTE AO REAJUSTE CONTRATUAL - OBJETO: SERVIÇOS COMUNS DE ENGENHARIA INERENTES À MANUTENÇÃO PREDIAL CORRETIVA OU PREVENTIVA - CAMPUS TABULEIRO DO NORTE. CONTRATO Nº 04/2019.
435;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;257;11/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 44.619,69;R$ 44.619,69;R$ 44.619,69;ESCOLA PADRE ANCHIETA
444;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;256;11/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 21.789,34;R$ 21.789,34;R$ 21.789,34;ESCOLA ANTONIO VICENTE FILHO
445;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;255;11/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 42.019,06;R$ 42.019,06;R$ 42.019,06;ESCOLA ANEXO BETEL
411;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;577;12/08/2021;55;MUNICÍPIO DE MARACANAÚ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 91.167,93;R$ 91.167,93;R$ 91.167,93;VALOR REFERENTE AO REPASSE DA PARTE FINAL DA 7ª MEDIÇÃO E 9ª MEDIÇÃO DOS SERVIÇOS DE REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE DO HOSPITAL MUNICIPAL DR. JOÃO ELÍSIO DE HOLANDA, MUNICÍPIO DE MARACANAÚ, CORRESPONDENTE AO PT 0375348-16 DA CAIXA ECONÔMICA FEDERAL, CONVÊNIO Nº 768783, DO MINISTÉRIO DA SAÚDE.
412;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;578;12/08/2021;55;MUNICÍPIO DE MARACANAÚ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 91.167,93;R$ 91.167,93;R$ 91.167,93;VALOR REFERENTE A CONTRAPARTIDA DA PARTE FINAL DA 7ª MEDIÇÃO E 9ª MEDIÇÃO DOS SERVIÇOS DE REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE DO HOSPITAL MUNICIPAL DR. JOÃO ELÍSIO DE HOLANDA, MUNICÍPIO DE MARACANAÚ, CORRESPONDENTE AO PT 0375348-16 DA CAIXA ECONÔMICA FEDERAL, CONVÊNIO Nº 768783, DO MINISTÉRIO DA SAÚDE.
413;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;579;14/08/2021;46;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 9.493,29;R$ 9.493,29;R$ 9.493,29;MEDIÇÃO REFERENTE AO REAJUSTE CONTRATUAL - OBJETO: SERVIÇOS COMUNS DE ENGENHARIA INERENTES À MANUTENÇÃO PREDIAL CORRETIVA OU PREVENTIVA - CAMPUS SOBRAL CONTRATO Nº 05/2019.
414;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;580;14/08/2021;14;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.748,30;R$ 1.748,30;R$ 1.748,30;MEDIÇÃO REFERENTE AO REAJUSTE CONTRATUAL - OBJETO: SERVIÇOS COMUNS DE ENGENHARIA INERENTES À MANUTENÇÃO PREDIAL CORRETIVA OU PREVENTIVA - CAMPUS QUIXADÁ. CONTRATO Nº 1/2019.
415;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;581;14/08/2021;17;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 23.708,42;R$ 23.708,42;R$ 23.708,42;MEDIÇÃO REFERENTE AO REAJUSTE CONTRATUAL - 1º PERÍODO NOV 2018/NOV 2019 E 2º PERÍODO NOV 2019/NOV 2020 - OBJETO: SERVIÇOS COMUNS DE ENGENHARIA INERENTES À MANUTENÇÃO PREDIAL CORRETIVA OU PREVENTIVA - CAMPUS FORTALEZA. CONTRATO Nº 061/2017. PROCESSO: 23256.023515/2018-19.
437;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;259;16/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 34.670,71;R$ 34.670,71;R$ 34.670,71;SAÚDE
438;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;260;16/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 13.711,87;R$ 13.711,87;R$ 13.711,87;SAÚDE
439;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;261;16/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 19.223,82;R$ 19.223,82;R$ 19.223,82;SAÚDE
409;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;262;17/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 104.385,87;R$ 104.385,87;R$ 104.385,87;PIÇARRAMENTO
416;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;582;17/08/2021;24;MUNICIPIO DE MORRINHOS;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 47.433,07;R$ 47.433,07;R$ 47.433,07;1ª MEDIÇÃO - OBJETO: EXECUÇÃO DOS SERVIÇOS DE CONSTRUÇÃO DE 04 (QUATRO) PRAÇAS PÚBLICAS NO BAIRRO CENTRO SEDE DO MUNICÍPIO E NAS LOCALIDADES DE CURRALINHO, JUNCO MANSO I E BOM PRINCÍPIO, JUNTO A SECRETARIA DE INFRAESTRUTURA DO MUNICÍPIO DE MORRINHOS/CE. CONTRATO Nº 20200435. TOMADA DE PREÇOS Nº 2020.09.04.001.
407;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;267;19/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 117.011,98;R$ 117.011,98;R$ 117.011,98;UMPA
408;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;268;19/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 31.644,49;R$ 31.644,49;R$ 31.644,49;CAPS
417;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;583;24/08/2021;55;MUNICÍPIO DE MARACANAÚ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 26.414,46;R$ 26.414,46;R$ 26.414,46;5ª MEDIÇÃO - OBJETO: CONTRATAÇÃO DE EMPRESA VISANDO A REFORMA DO FÓRUM VELHO - ADEQUAÇÃO PARA SEDE DO GABINETE - SITUADO NA RUA EDSON QUEIROZ, Nº 155, PIRATININGA, EM MARACANAÚ-CE. CONTRATO Nº 1010.20.02.06.02. TOMADA DE PREÇO Nº 10.023/2019-TP.
440;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;269;25/08/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 15.913,39;R$ 15.913,39;R$ 15.913,39;SAÚDE
469;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;DEP;02;27/08/2021;79;CAIXA ECONOMICA FEDERAL;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 200.000,00;R$ 200.000,00;R$ 200.000,00;EMPRESTIMO
446;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;281;02/09/2021;74;MUNICIPIO DE BATURITÉ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 70.548,35;R$ 70.548,35;R$ 70.548,35;ESCOLA DOMINGOS SAVIO
