EMPRESA: DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA
ID_EMPRESA: 1
PERIODO: 2019-08-13 ate 2026-05-30
Fonte: Sienge API REST ao vivo (/accounts-receivable/receivable-bills), sem uso do banco local.
Observacao: Ind., Dias, Acrescimo e Desconto ficam em branco/R$ 0,00 quando o endpoint principal do Sienge nao retorna esses campos.
Registros: companies=10; works=347; titles=1488.

OBRAS ADMINISTRADAS
ID_OBRA;OBRA
90;CRATO - CASA DE FARINHA PSJ
112;DUPLICAÇÃO DA ENTRADA DA CIDADE - TABULEIRO DO NORTE
108;ENROCAMENTO EMERGENCIAL - CAUCAIA
154;ESCOLA MUNICIPAL ALDENOR PEREIRA DOS SANTOS EMEIF - PARAIPABA
115;ESCOLAS - CAUCAIA
41;ESCRITÓRIO
36;ESCRITÓRIO NOVO
246;EXECUÇÃO DE PRÉDIO EDUCACIONAL/RESIDENCIAL - ACOPIARA
249;EXPANSÃO IV DO IFCE - CAMPUS CASCAVEL - CIDADE CASCAVEL
244;EXPANSÃO IV DO IFCE - CAMPUS SALES - CIDADE CAMPOS SALES
180;FIAT MOB (05) - SBA7A60
181;FIAT MOB (06) - SBB0E60
105;GESTÃO DINAMICA
81;HILUX PNR 1985
21;HOSPITAL MUNICIPAL EDVAR SILVEIRA - MORRINHOS
209;IFCE - CAMOCIM - SUBESTAÇÃO - GRUPO 02
210;IFCE - CAMPUS ACARAÚ - SUBESTAÇÃO - GRUPO 02
239;IFCE - CAMPUS ACOPIARA - SUBESTAÇÃO - GRUPO 04
219;IFCE - CAMPUS ARACATI - SUBESTAÇÃO - GRUPO 03
226;IFCE - CAMPUS BATURITE - SUBESTAÇÃO - GRUPO 01
211;IFCE - CAMPUS BOA VIAGEM - SUBESTAÇÃO - GRUPO 02
212;IFCE - CAMPUS CANINDE - SUBESTAÇÃO - GRUPO 02
227;IFCE - CAMPUS CAUCAIA - SUBESTAÇÃO - GRUPO 01
240;IFCE - CAMPUS CEDRO - SUBESTAÇÃO GRUPO 04
213;IFCE - CAMPUS CRATEÚS - SUBESTAÇÃO - GRUPO 02
241;IFCE - CAMPUS CRATO - SUBESTAÇÃO - GRUPO 04
228;IFCE - CAMPUS FORTALEZA - SUBESTAÇÃO - GRUPO 01
229;IFCE - CAMPUS GUARAMIRANGA - SUBESTAÇÃO - GRUPO 01
230;IFCE - CAMPUS HORIZONTE - SUBESTAÇÃO - GRUPO 01
238;IFCE - CAMPUS IGUATU - SUBESTAÇÃO - GRUPO 04
214;IFCE - CAMPUS ITAPIPOCA - SUBESTAÇÃO - GRUPO 02
220;IFCE - CAMPUS JAGUARIBE - SUBESTAÇÃO - GRUPO 03
221;IFCE - CAMPUS JAGUARUANA - SUBESTAÇÃO - GRUPO 03
242;IFCE - CAMPUS JUAZEIRO DO NORTE - SUBESTAÇÃO - GRUPO 04
222;IFCE - CAMPUS LIMOEIRO DO NORTE - SUBESTAÇÃO - GRUPO 03
231;IFCE - CAMPUS MARACANAU - SUBESTAÇÃO - GRUPO 01
232;IFCE - CAMPUS MARANGUAPE - SUBESTAÇÃO - GRUPO 01
243;IFCE - CAMPUS MOMBAÇA - SUBESTAÇÃO - GRUPO 04
223;IFCE - CAMPUS MORADA NOVA - SUBESTAÇÃO - GRUPO 03
233;IFCE - CAMPUS PARACURU - SUBESTAÇÃO - GRUPO 01
234;IFCE - CAMPUS PECEM - SUBESTAÇÃO - GRUPO 01
235;IFCE - CAMPUS POLO DE INOVAÇÃO - SUBESTAÇÃO - GRUPO 01
224;IFCE - CAMPUS QUIXADA - SUBESTAÇÃO - GRUPO 03
237;IFCE - CAMPUS REITORIA - SUBESTAÇÃO
215;IFCE - CAMPUS SOBRAL - SUBESTAÇÃO - GRUPO 02
225;IFCE - CAMPUS TABULEIRO DO NORTE - SUBESTAÇÃO - GRUPO 03
216;IFCE - CAMPUS TAUÁ - SUBESTAÇÃO - GRUPO 02
217;IFCE - CAMPUS TIANGUÁ - SUBESTAÇÃO - GRUPO 02
218;IFCE - CAMPUS UBAJARA - SUBESTAÇÃO - GRUPO 02
236;IFCE - CAMPUS UMIRIM - SUBESTAÇÃO - GRUPO 01
167;IFCE - SERVIÇOS DE INSTALAÇÃO DE ALAMBRADOS E TABELA DE BASQUETE
2;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - CAMOCIM
6;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - CAUCAIA
7;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - MORADA NOVA
8;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - TABULEIRO DO NORTE
3;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - TAUÁ
4;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - TIANGUÁ
5;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - UBAJARA
1;IFCE CONSTRUÇÃO SALAS DE AULA - MORADA NOVA
16;IFCE CONSTRUÇÃO SALAS DE AULA E ESP. VIVÊNCIA - JAGUARIBE
67;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS ACARAU
61;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS ACOPIARA
56;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS ARACATI
71;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS BATURITE
51;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS BOA VIAGEM
52;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CAMOCIM
93;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CANINDE
57;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CEDRO
62;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CRATEUS
94;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CRATO
45;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS FORTALEZA
88;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS GUARAMIRANGA
84;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS IGUATU
53;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS ITAPIPOCA
58;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS JAGUARIBE
106;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS JAGUARUANA
59;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS JUAZEIRO DO NORTE
98;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS LIMOEIRO
46;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS MARACANAU
47;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS MARANGUAPE
60;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS MORADA NOVA
48;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS PARACURU
66;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS PECEM
86;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS POLO
64;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS QUIXADA
49;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS REITORIA
69;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS SOBRAL
72;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS TABULEIRO DO NORTE
54;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS TAUA
68;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS TIANGUA
55;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS UBAJARA
50;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS UMIRIM
44;IFCE MANUTENÇAO SUBESTAÇAO- CAMPUS CAUCAIA
96;IFCE MANUTENÇÃO PREDIAL - ACARAU
11;IFCE MANUTENÇÃO PREDIAL - ARACATI
22;IFCE MANUTENÇÃO PREDIAL - BOA VIAGEM
38;IFCE MANUTENÇÃO PREDIAL - CANINDÉ
43;IFCE MANUTENÇÃO PREDIAL - CAUCAIA
92;IFCE MANUTENÇÃO PREDIAL - CRATEUS
100;IFCE MANUTENÇÃO PREDIAL - FORTALEZA
9;IFCE MANUTENÇÃO PREDIAL - FORTALEZA
14;IFCE MANUTENÇÃO PREDIAL - HORIZONTE
95;IFCE MANUTENÇÃO PREDIAL - IGUATU
29;IFCE MANUTENÇÃO PREDIAL - JAGUARIBE
18;IFCE MANUTENÇÃO PREDIAL - JAGUARUANA
24;IFCE MANUTENÇÃO PREDIAL - LIMOEIRO DO NORTE
99;IFCE MANUTENÇÃO PREDIAL - MARACANAU
123;IFCE MANUTENÇÃO PREDIAL - MARANGUAPE
23;IFCE MANUTENÇÃO PREDIAL - MORADA NOVA
13;IFCE MANUTENÇÃO PREDIAL - PARACURU
15;IFCE MANUTENÇÃO PREDIAL - QUIXADÁ
34;IFCE MANUTENÇÃO PREDIAL - QUIXADÁ 2
10;IFCE MANUTENÇÃO PREDIAL - REITORIA
97;IFCE MANUTENÇÃO PREDIAL - SOBRAL
12;IFCE MANUTENÇÃO PREDIAL - TABULEIRO DO NORTE
65;IFCE MANUTENÇÃO PREDIAL - TIANGUA
63;IFCE MANUTENÇÃO PREDIAL - UMIRIM
182;INSTALAÇÃO DE SISTEMA FOTOVOLTAICO - CÂMARA MUNICIPAL DE BATALHA
89;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ - CAMPUS LIMOEIRO
30;ITAITINGA - CONST. QUADRA COBERTA COM VESTIÁRIO
35;ITAITINGA - PAV. PEDRA TOSCA EM RUAS GERERAÚ
202;KHARCARAD CONSULTORIA E SOFTWARES LTDA
82;L200 PWN 5994
37;LICITAÇÃO
42;LOGÍSTICA
129;MANUTENÇÃO NO MUNICÍPIO DE PARACURU - CE
163;MANUTENÇÃO PREDIAL SECRETARIA DE SAÚDE - CAUCAIA.
118;MANUTENÇÃO SEC. SAÚDE - CAUCAIA
74;MONTANA PRETA 0RR-5194
124;OBRA PARCERIA - IFCE
130;OBRAS AREA CAUCAIA
191;OBRAS PARCERIAS 2
189;OBRAS PARCERIAS TABULEIRO - ENTRADA DA CIDADE
190;OBRAS PARCERIAS TABULEIRO - QUADRAS
188;OBRAS PARCERIAS TABULEIRO CRECHE
121;PAVIMENTAÇÃO - CNT MORRINHOS
113;PAVIMENTAÇÃO E URBANIZAÇÃO DA AV. BEIRA RIO - MORRINHOS
107;PAVIMENTAÇÃO EM PEDRA TOSCA EM URUCUTUBA - CAUCAIA
33;PMC - REFORMA DE UMA QUADRA COBERTA DA ESCOLA DOMINGOS DE ABREU BRASILEIRO
32;PMC- REFORMA DA QUADRA COBERTA DA ESCOLA ANTONIO ALMEIDA LUSTOSA
31;PMC- REFORMA QUADRA COBERTA ESCOLA NELY CAULA DE CARVALHO
39;PRAÇA MUNICIPAL EDWAR SILVEIRA - MORRINHOS
25;PREFEITURA - MORRINHOS - ESCOLA FNDE
70;PREFEITURA MUNICIPAL DE CAMOCIM - CONCLUSAO CRECHE
27;PREFEITURA MUNICIPAL DE CAUCAIA - CONCLUSÃO
26;PREFEITURA MUNICIPAL DE CAUCAIA - CRECHES
40;PREFEITURA MUNICIPAL DE CAUCAIA - REF 02 QUADRAS (Mª DE LOURDES E PEDRO LAURINDO
85;PREFEITURA MUNICIPAL DE MORRINHOS - CENTRO DE FEIRAS
273;PROJETO DE CASAS - ALPHAVILLE
998;PROVISÕES
20;PSJ ETE HORIZONTE
147;QUADRA POLIESPORTIVA COM COBERTURA E VESTIÁRIOS MODELO 02 - CAMPOS SALES
160;QUADRA POLIESPORTIVA HENRIQUE DOMINGOS BRAGA SANDERS - PARACURU
114;RAFAEL DE SÁ CRUZ
137;RANGER - QUL - 5009
206;RECUPERAÇÃO DO MATADOURO PÚBLICO MUNICIPAL DE ASSARÉ
184;REF E AMP DA EDIFICAÇÃO DA ESCOLA SUPERIOR DA MAGISTRAT DO EST DO CEARA - ESMEC
203;REF E AMPLI ESCOLAS FRANCISCO CIPRIANO MOREIRA E LUIZA BARROSO BRAGA - PARAIPABA
159;REFORMA CALÇADÃO DA ORLA - PARACURU
158;REFORMA DA CRECHE SONHOS DE CRIANÇA - POÇO DOCE - PARACURU
126;REFORMA DA PRAÇA DA MATRIZ DO MUNICÍPIO DE GRANJEIRO
156;REFORMA DE EDIFICAÇÃO PARA IMPLANTAÇÃO DA SEDE DO RAIO - DE PENTECOSTE
131;REFORMA DE ESCOLA
127;REFORMA DE ESCRITÓRIO
134;REFORMA DE ESTRUTURA
91;REFORMA DE FÓRUM VELHO - ADEQUAÇÃO DE GABINETE - MARACANAÚ
132;REFORMA DE POSTO
102;REFORMA DO HOSPITAL MUNICIPAL DR. JOÃO ELISIO DE HOLANDA
161;REFORMA DO TERMINAL RODOVIÁRIO - PARACURU
111;REFORMA DOS CEMITÉRIOS PÚBLICOS EM CAUCAIA - CE
169;REFORMA E ADEQUAÇÃO DO SHOWROOM DA LOJA CLUB COSMÉTICOS
151;REFORMA E AMPLIAÇÃO DA ESCOLA EDMUNDO PEREIRA BARBOSA EMEIF - PARAIPABA
133;REFORMA FINANCEIRO
149;REFORMA UBS JARDIM - PARACURU
138;REGULARIZAÇÃO
117;REQUALIFICAÇÃO DO MERCADO DA JUREMA - CAUCAIA
247;RESIDENCIAS UNIFAMILIARES JARDINS BOULEVARD - NOVUM
128;RESIDENCIAS UNIFAMILIARES LAGOA DO BANANA
116;RETRABALHO
140;SAÚDE
179;SBM1B40 - CAMINHÃO GRANDE
178;SBS3J50 - CAMINHÃO PEQUENO
17;SEDUC REFORMA DO CEJAQUI - AQUIRAZ
153;SERV AMPL E REF ESCOLAS EEIEF JOSÉ ANT SOUSA E EEF RAQUEL COSTA SENADOR POMPEU
142;SERVIÇOS REMANESCENTES DA CRECHE TIPO 01 - PROINFÂNCIA - ASSARÉ
110;SERVIÇOS REMANESCENTES DA CRECHE TIPO 01 - PROINFÂNCIA - TABULEIRO DO NORTE
141;SETOR METALÚRGICO
293;SIENA - NUS0749
104;SUBESTAÇÃO DE ESCOLAS EM SÃO GONÇALO DO AMARANTE
139;SUBESTAÇÃO DO HOSPITAL DR. JOÃO ELÍSIO DE HOLANDA - MARACANAÚ
19;TESTE
285;TESTE - LANÇAMENTO DE ORÇAMENTOS
152;TJCE - REFORMA TOTAL DO FÓRUM DA COMARCA DE AURORA - TRIBUNAL DE JUSTIÇA
87;UNIDADE BASICA DE SAUDE (UBS) - CAUCAIA
287;UNIDADE NUTRICIONAL DO CAMPUS BATURITÉ - IFCE
278;UNIDADE NUTRICIONAL DO CAMPUS BATURITÉ - IFCE (DESATIVADO)
279;UNIDADE NUTRICIONAL DO CAMPUS CAMOCIM - IFCE
280;UNIDADE NUTRICIONAL DO CAMPUS CAUCAIA - IFCE
282;UNIDADE NUTRICIONAL DO CAMPUS HORIZONTE - IFCE
286;UNIDADE NUTRICIONAL DO CAMPUS MORADA NOVA - IFCE
281;UNIDADE NUTRICIONAL DO CAMPUS PARACURU - IFCE
283;UNIDADE NUTRICIONAL DO CAMPUS TIANGUÁ - IFCE
284;UNIDADE NUTRICIONAL DO CAMPUS UBAJARA - IFCE
144;URBANIZAÇÃO DO AÇUDE DO JUNCO - CONSTRUÇÃO DE FONTE GRANJEIRO
165;URBANIZAÇÃO ENTRADA DA CIDADE - GRANJEIRO
76;VT 01 - SAVEIRO PVZ-5019
75;VT 02 - MONTANA POP-3760
73;VT 03 - CAMINHÃO OKR 8293
77;VT 04 SAVEIRO GGA4519
78;VT 05 - SAVEIRO FWX1895
79;VT 06 L200 JVA-2907
80;VT 07 MOTO PME-7113
277;VT FOX - OII2820

CONTAS_A_RECEBER
Credor;Documento;Lançamento;Qt.;Ind.;Dias;Valor no vencto;Acréscimo;Desconto;Total
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;NFE 205;13/08/2019;1;;;R$ 57.764,30;R$ 0,00;R$ 0,00;R$ 57.764,30
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;NFSE 206;13/08/2019;1;;;R$ 230.571,01;R$ 0,00;R$ 0,00;R$ 230.571,01
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;NFSE 208;13/08/2019;1;;;R$ 79.227,87;R$ 0,00;R$ 0,00;R$ 79.227,87
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;NFSE 209;13/08/2019;1;;;R$ 80.006,28;R$ 0,00;R$ 0,00;R$ 80.006,28
FUNDO MUNICIPAL DE SAÚDE;NFSE 211;04/09/2019;1;;;R$ 153.021,90;R$ 0,00;R$ 0,00;R$ 153.021,90
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;NFSE 214;10/09/2019;1;;;R$ 18.960,76;R$ 0,00;R$ 0,00;R$ 18.960,76
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;NFSE 219;10/09/2019;1;;;R$ 8.361,64;R$ 0,00;R$ 0,00;R$ 8.361,64
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;NFSE 216;13/09/2019;1;;;R$ 23.230,53;R$ 0,00;R$ 0,00;R$ 23.230,53
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;NFSE 217;13/09/2019;1;;;R$ 5.285,28;R$ 0,00;R$ 0,00;R$ 5.285,28
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;NFSE 221;16/09/2019;1;;;R$ 13.928,10;R$ 0,00;R$ 0,00;R$ 13.928,10
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;NFSE 220;19/09/2019;1;;;R$ 75.051,84;R$ 0,00;R$ 0,00;R$ 75.051,84
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;NFSE 222;20/09/2019;1;;;R$ 15.081,07;R$ 0,00;R$ 0,00;R$ 15.081,07
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;NFSE 224;20/09/2019;1;;;R$ 138.678,24;R$ 0,00;R$ 0,00;R$ 138.678,24
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;NFSE 225;24/09/2019;1;;;R$ 30.603,50;R$ 0,00;R$ 0,00;R$ 30.603,50
FUNDO MUNICIPAL DE SAÚDE;NFSE 228;03/10/2019;1;;;R$ 128.014,21;R$ 0,00;R$ 0,00;R$ 128.014,21
MUNICÍPIO DE CAUCAIA;NFSE 231;21/10/2019;1;;;R$ 50.956,46;R$ 0,00;R$ 0,00;R$ 50.956,46
MUNICÍPIO DE CAUCAIA;NFSE 232;21/10/2019;1;;;R$ 154.284,03;R$ 0,00;R$ 0,00;R$ 154.284,03
